scenario,trial,month,monthly_pl_kc
konzervativni,55,12,-558.88
konzervativni,56,1,-800.0
konzervativni,56,2,-650.59
konzervativni,56,3,-714.07
konzervativni,56,4,-302.09
konzervativni,56,5,-580.42
konzervativni,56,6,-508.99
konzervativni,56,7,-578.26
konzervativni,56,8,-302.06
konzervativni,56,9,-746.75
konzervativni,56,10,-742.03
konzervativni,56,11,-223.86
konzervativni,56,12,-786.15
konzervativni,57,1,-719.39
konzervativni,57,2,-769.47
konzervativni,57,3,-447.57
konzervativni,57,4,-723.74
konzervativni,57,5,-800.0
konzervativni,57,6,-597.05
konzervativni,57,7,-573.34
konzervativni,57,8,-657.56
konzervativni,57,9,-370.92
konzervativni,57,10,-723.69
konzervativni,57,11,-779.12
konzervativni,57,12,-393.96
konzervativni,58,1,-800.0
konzervativni,58,2,-567.13
konzervativni,58,3,-605.14
konzervativni,58,4,-667.09
konzervativni,58,5,-401.87
konzervativni,58,6,-135.88
konzervativni,58,7,-411.57
konzervativni,58,8,-539.7
konzervativni,58,9,-490.57
konzervativni,58,10,-714.33
konzervativni,58,11,-595.72
konzervativni,58,12,-108.05
konzervativni,59,1,-800.0
konzervativni,59,2,-800.0
konzervativni,59,3,-734.14
konzervativni,59,4,-717.25
konzervativni,59,5,-279.24
konzervativni,59,6,-635.04
konzervativni,59,7,-789.83
konzervativni,59,8,-657.53
konzervativni,59,9,-730.28
konzervativni,59,10,-785.76
konzervativni,59,11,-488.57
konzervativni,59,12,-75.8
konzervativni,60,1,-713.87
konzervativni,60,2,-808.0
konzervativni,60,3,-610.33
konzervativni,60,4,-484.75
konzervativni,60,5,-478.94
konzervativni,60,6,-380.37
konzervativni,60,7,-614.81
konzervativni,60,8,-550.79
konzervativni,60,9,-694.53
konzervativni,60,10,-375.07
konzervativni,60,11,-132.97
konzervativni,60,12,-485.77
konzervativni,61,1,-643.68
konzervativni,61,2,-552.82
konzervativni,61,3,-659.67
konzervativni,61,4,-644.58
konzervativni,61,5,-800.0
konzervativni,61,6,-356.13
konzervativni,61,7,-384.49
konzervativni,61,8,-668.0
konzervativni,61,9,-393.03
konzervativni,61,10,-212.64
konzervativni,61,11,-301.62
konzervativni,61,12,-628.15
konzervativni,62,1,-728.32
konzervativni,62,2,-727.92
konzervativni,62,3,-599.87
konzervativni,62,4,-737.44
konzervativni,62,5,-245.56
konzervativni,62,6,-739.16
konzervativni,62,7,-589.62
konzervativni,62,8,9.5
konzervativni,62,9,-563.68
konzervativni,62,10,-433.81
konzervativni,62,11,-511.02
konzervativni,62,12,21.1
konzervativni,63,1,-706.54
konzervativni,63,2,-800.0
konzervativni,63,3,-577.64
konzervativni,63,4,-569.52
konzervativni,63,5,-800.0
konzervativni,63,6,-474.22
konzervativni,63,7,-762.77
konzervativni,63,8,-514.13
konzervativni,63,9,-675.01
konzervativni,63,10,-681.24
konzervativni,63,11,-368.49
konzervativni,63,12,-365.94
konzervativni,64,1,-745.22
konzervativni,64,2,-638.76
konzervativni,64,3,-599.08
konzervativni,64,4,-732.61
konzervativni,64,5,-786.93
konzervativni,64,6,-373.47
konzervativni,64,7,-742.86
konzervativni,64,8,-402.16
konzervativni,64,9,-548.67
konzervativni,64,10,-438.88
konzervativni,64,11,-127.88
konzervativni,64,12,-355.5
konzervativni,65,1,-808.0
konzervativni,65,2,-574.02
konzervativni,65,3,-651.95
konzervativni,65,4,-800.0
konzervativni,65,5,-789.55
konzervativni,65,6,-672.03
konzervativni,65,7,-392.74
konzervativni,65,8,-800.0
konzervativni,65,9,-506.78
konzervativni,65,10,-555.85
konzervativni,65,11,-677.4
konzervativni,65,12,-680.79
konzervativni,66,1,-800.0
konzervativni,66,2,-740.97
konzervativni,66,3,-394.91
konzervativni,66,4,-622.23
konzervativni,66,5,-528.62
konzervativni,66,6,-566.45
konzervativni,66,7,-745.43
konzervativni,66,8,-505.6
konzervativni,66,9,-537.09
konzervativni,66,10,-580.99
konzervativni,66,11,-682.36
konzervativni,66,12,-569.27
konzervativni,67,1,-800.0
konzervativni,67,2,-659.91
konzervativni,67,3,-534.89
konzervativni,67,4,-563.24
konzervativni,67,5,-501.03
konzervativni,67,6,-687.38
konzervativni,67,7,-668.37
konzervativni,67,8,-360.36
konzervativni,67,9,-411.74
konzervativni,67,10,-512.37
konzervativni,67,11,-633.75
konzervativni,67,12,-590.07
konzervativni,68,1,-808.0
konzervativni,68,2,-603.3
konzervativni,68,3,-742.36
konzervativni,68,4,-573.61
konzervativni,68,5,-557.23
konzervativni,68,6,-651.54
konzervativni,68,7,-796.51
konzervativni,68,8,-688.46
konzervativni,68,9,-421.34
konzervativni,68,10,-569.97
konzervativni,68,11,-716.26
konzervativni,68,12,-466.41
konzervativni,69,1,-607.43
konzervativni,69,2,-808.0
konzervativni,69,3,-796.56
konzervativni,69,4,-800.0
konzervativni,69,5,-800.0
konzervativni,69,6,-339.8
konzervativni,69,7,-590.65
konzervativni,69,8,-478.28
konzervativni,69,9,-624.96
konzervativni,69,10,-590.27
konzervativni,69,11,-356.75
konzervativni,69,12,-545.62
konzervativni,70,1,-697.8
konzervativni,70,2,-619.31
konzervativni,70,3,-448.9
konzervativni,70,4,-472.74
konzervativni,70,5,-503.87
konzervativni,70,6,-471.15
konzervativni,70,7,-537.98
konzervativni,70,8,-644.36
konzervativni,70,9,-123.26
konzervativni,70,10,-429.56
konzervativni,70,11,-265.5
konzervativni,70,12,-680.64
konzervativni,71,1,-652.09
konzervativni,71,2,-691.06
konzervativni,71,3,-627.77
konzervativni,71,4,-800.0
konzervativni,71,5,-576.61
konzervativni,71,6,-496.43
konzervativni,71,7,-563.25
konzervativni,71,8,-614.9
konzervativni,71,9,-633.64
konzervativni,71,10,-800.79
konzervativni,71,11,-556.76
konzervativni,71,12,-65.73
konzervativni,72,1,-800.0
konzervativni,72,2,-733.26
konzervativni,72,3,-507.01
konzervativni,72,4,-723.27
konzervativni,72,5,-435.44
konzervativni,72,6,-587.31
konzervativni,72,7,-752.45
konzervativni,72,8,-276.48
konzervativni,72,9,-522.32
konzervativni,72,10,-542.59
konzervativni,72,11,-454.97
konzervativni,72,12,-431.16
konzervativni,73,1,-740.09
konzervativni,73,2,-784.11
konzervativni,73,3,-518.18
konzervativni,73,4,-670.27
konzervativni,73,5,-391.36
konzervativni,73,6,-554.6
konzervativni,73,7,-543.27
konzervativni,73,8,-608.69
konzervativni,73,9,-385.52
konzervativni,73,10,-568.68
konzervativni,73,11,77.29
konzervativni,73,12,-264.8
konzervativni,74,1,-720.19
konzervativni,74,2,-399.56
konzervativni,74,3,-800.0
konzervativni,74,4,-341.95
konzervativni,74,5,-565.55
konzervativni,74,6,-625.72
konzervativni,74,7,-746.72
konzervativni,74,8,-606.41
konzervativni,74,9,-330.05
konzervativni,74,10,-544.6
konzervativni,74,11,-348.89
konzervativni,74,12,-510.86
konzervativni,75,1,-800.0
konzervativni,75,2,-757.47
konzervativni,75,3,-454.53
konzervativni,75,4,-262.85
konzervativni,75,5,-469.47
konzervativni,75,6,-261.17
konzervativni,75,7,-622.51
konzervativni,75,8,-741.44
konzervativni,75,9,-308.62
konzervativni,75,10,-800.0
konzervativni,75,11,-622.16
konzervativni,75,12,-448.68
konzervativni,76,1,-800.0
konzervativni,76,2,-800.0
konzervativni,76,3,-517.37
konzervativni,76,4,-638.41
konzervativni,76,5,-728.27
konzervativni,76,6,-533.03
konzervativni,76,7,-644.35
konzervativni,76,8,-645.66
konzervativni,76,9,-507.78
konzervativni,76,10,-800.0
konzervativni,76,11,-510.96
konzervativni,76,12,-735.2
konzervativni,77,1,-700.45
konzervativni,77,2,-759.97
